trial,seed,hidden_dim,num_layers,alpha,beta,gamma,split,best_val_mse,target_mean,target_std,mae,rmse,num_samples,skill_score
0,51,16,1,1.3,0.5,1.5,train,49.49626159667969,-1.8799999952316284,7.452269554138184,2.072599411010742,2.8670504093170166,50,0.8489685654640198
0,51,16,1,1.3,0.5,1.5,val,49.49626159667969,0.8999999761581421,7.781030654907227,5.891888618469238,7.03535795211792,10,0.20447546243667603
0,51,16,1,1.3,0.5,1.5,test,49.49626159667969,1.6428571939468384,3.973123788833618,2.6441643238067627,3.088149309158325,14,0.6476863622665405
1,51,16,1,1.3,0.5,1.7,train,49.42418670654297,-1.8799999952316284,7.452269554138184,2.015782356262207,2.8286900520324707,50,0.8529830574989319
1,51,16,1,1.3,0.5,1.7,val,49.42418670654297,0.8999999761581421,7.781030654907227,5.881229400634766,7.030233860015869,10,0.20563387870788574
1,51,16,1,1.3,0.5,1.7,test,49.42418670654297,1.6428571939468384,3.973123788833618,2.6857075691223145,3.130415439605713,14,0.6379764676094055
2,51,16,1,1.3,0.5,1.9,train,49.382652282714844,-1.8799999952316284,7.452269554138184,2.1241960525512695,2.9855334758758545,50,0.8362276554107666
2,51,16,1,1.3,0.5,1.9,val,49.382652282714844,0.8999999761581421,7.781030654907227,5.834851264953613,7.027279376983643,10,0.20630139112472534
2,51,16,1,1.3,0.5,1.9,test,49.382652282714844,1.6428571939468384,3.973123788833618,2.7431728839874268,3.183759927749634,14,0.6255331039428711
3,51,16,1,1.3,1.0,1.5,train,49.54042053222656,-1.8799999952316284,7.452269554138184,2.0778751373291016,2.870601177215576,50,0.8485942482948303
3,51,16,1,1.3,1.0,1.5,val,49.54042053222656,0.8999999761581421,7.781030654907227,5.894213676452637,7.0384955406188965,10,0.20376569032669067
3,51,16,1,1.3,1.0,1.5,test,49.54042053222656,1.6428571939468384,3.973123788833618,2.6406004428863525,3.0850255489349365,14,0.648398756980896
4,51,16,1,1.3,1.0,1.7,train,49.478416442871094,-1.8799999952316284,7.452269554138184,2.0057663917541504,2.8229124546051025,50,0.8535829782485962
4,51,16,1,1.3,1.0,1.7,val,49.478416442871094,0.8999999761581421,7.781030654907227,5.88210391998291,7.0340895652771,10,0.2047622799873352
4,51,16,1,1.3,1.0,1.7,test,49.478416442871094,1.6428571939468384,3.973123788833618,2.6900508403778076,3.1338295936584473,14,0.6371864080429077
5,55,16,1,1.3,1.0,1.9,train,46.56713104248047,-1.8799999952316284,7.452269554138184,3.5471060276031494,4.687253952026367,50,0.5963233113288879
5,55,16,1,1.3,1.0,1.9,val,46.56713104248047,0.8999999761581421,7.781030654907227,4.698117733001709,6.824011325836182,10,0.25155365467071533
5,55,16,1,1.3,1.0,1.9,test,46.56713104248047,1.6428571939468384,3.973123788833618,1.41275155544281,1.637548804283142,14,0.9009347558021545
6,51,16,1,1.3,1.5,1.5,train,49.57597351074219,-1.8799999952316284,7.452269554138184,2.086259603500366,2.8762621879577637,50,0.8479964733123779
6,51,16,1,1.3,1.5,1.5,val,49.57597351074219,0.8999999761581421,7.781030654907227,5.896692276000977,7.04102087020874,10,0.203194260597229
6,51,16,1,1.3,1.5,1.5,test,49.57597351074219,1.6428571939468384,3.973123788833618,2.6323230266571045,3.0774598121643066,14,0.6501212120056152
7,51,16,1,1.3,1.5,1.7,train,49.47199249267578,-1.8799999952316284,7.452269554138184,2.0340282917022705,2.8399064540863037,50,0.8518148064613342
7,51,16,1,1.3,1.5,1.7,val,49.47199249267578,0.8999999761581421,7.781030654907227,5.886336326599121,7.033632755279541,10,0.20486551523208618
7,51,16,1,1.3,1.5,1.7,test,49.47199249267578,1.6428571939468384,3.973123788833618,2.676008939743042,3.1216115951538086,14,0.640009880065918
8,51,16,1,1.3,1.5,1.9,train,49.172183990478516,-1.8799999952316284,7.452269554138184,1.8151254653930664,2.2208759784698486,50,0.9093755483627319
8,51,16,1,1.3,1.5,1.9,val,49.172183990478516,0.8999999761581421,7.781030654907227,5.776400566101074,7.0122880935668945,10,0.20968413352966309
8,51,16,1,1.3,1.5,1.9,test,49.172183990478516,1.6428571939468384,3.973123788833618,3.5652987957000732,4.070319175720215,14,0.3879460096359253
9,51,16,1,1.5,0.5,1.5,train,47.97190475463867,-1.8799999952316284,7.452269554138184,3.3353042602539062,4.272636890411377,50,0.664580225944519
9,51,16,1,1.5,0.5,1.5,val,47.97190475463867,0.8999999761581421,7.781030654907227,5.1071457862854,6.926175117492676,10,0.22897553443908691
9,51,16,1,1.5,0.5,1.5,test,47.97190475463867,1.6428571939468384,3.973123788833618,1.96596360206604,2.317087173461914,14,0.8016567230224609
10,51,16,1,1.5,0.5,1.7,train,51.24738693237305,-1.8799999952316284,7.452269554138184,2.339622735977173,3.2465171813964844,50,0.8063434958457947
10,51,16,1,1.5,0.5,1.7,val,51.24738693237305,0.8999999761581421,7.781030654907227,5.8840131759643555,7.158728122711182,10,0.17633062601089478
10,51,16,1,1.5,0.5,1.7,test,51.24738693237305,1.6428571939468384,3.973123788833618,2.7351670265197754,3.1163811683654785,14,0.6412152647972107
11,51,16,1,1.5,0.5,1.9,train,51.36381912231445,-1.8799999952316284,7.452269554138184,2.3146164417266846,3.228562355041504,50,0.8084796071052551
11,51,16,1,1.5,0.5,1.9,val,51.36381912231445,0.8999999761581421,7.781030654907227,5.883408546447754,7.166855812072754,10,0.1744592785835266
11,51,16,1,1.5,0.5,1.9,test,51.36381912231445,1.6428571939468384,3.973123788833618,2.7373926639556885,3.13853120803833,14,0.6360969543457031
12,51,16,1,1.5,1.0,1.5,train,51.30280303955078,-1.8799999952316284,7.452269554138184,2.334859848022461,3.2423059940338135,50,0.8068455457687378
12,51,16,1,1.5,1.0,1.5,val,51.30280303955078,0.8999999761581421,7.781030654907227,5.871331214904785,7.16259765625,10,0.1754399538040161
12,51,16,1,1.5,1.0,1.5,test,51.30280303955078,1.6428571939468384,3.973123788833618,2.753500461578369,3.150113821029663,14,0.6334060430526733
13,51,16,1,1.5,1.0,1.7,train,50.87591552734375,-1.8799999952316284,7.452269554138184,1.342279314994812,1.798486351966858,50,0.940569281578064
13,51,16,1,1.5,1.0,1.7,val,50.87591552734375,0.8999999761581421,7.781030654907227,5.920531272888184,7.132735252380371,10,0.18230104446411133
13,51,16,1,1.5,1.0,1.7,test,50.87591552734375,1.6428571939468384,3.973123788833618,3.486934185028076,3.9127156734466553,14,0.4344260096549988
14,51,16,1,1.5,1.0,1.9,train,51.259254455566406,-1.8799999952316284,7.452269554138184,2.3366265296936035,3.2458200454711914,50,0.8064266443252563
14,51,16,1,1.5,1.0,1.9,val,51.259254455566406,0.8999999761581421,7.781030654907227,5.893471717834473,7.159556865692139,10,0.17613989114761353
14,51,16,1,1.5,1.0,1.9,test,51.259254455566406,1.6428571939468384,3.973123788833618,2.733278512954712,3.110762596130371,14,0.642507791519165
15,51,16,1,1.5,1.5,1.5,train,51.310752868652344,-1.8799999952316284,7.452269554138184,2.336780309677124,3.243380546569824,50,0.8067175149917603
15,51,16,1,1.5,1.5,1.5,val,51.310752868652344,0.8999999761581421,7.781030654907227,5.8732194900512695,7.16315221786499,10,0.17531216144561768
15,51,16,1,1.5,1.5,1.5,test,51.310752868652344,1.6428571939468384,3.973123788833618,2.754575252532959,3.15028977394104,14,0.6333650350570679
16,51,16,1,1.5,1.5,1.7,train,51.29730987548828,-1.8799999952316284,7.452269554138184,2.3360443115234375,3.2432210445404053,50,0.8067365288734436
16,51,16,1,1.5,1.5,1.7,val,51.29730987548828,0.8999999761581421,7.781030654907227,5.88503360748291,7.1622138023376465,10,0.17552822828292847
16,51,16,1,1.5,1.5,1.7,test,51.29730987548828,1.6428571939468384,3.973123788833618,2.7367031574249268,3.1219842433929443,14,0.6399239301681519
17,51,16,1,1.5,1.5,1.9,train,48.00077819824219,-1.8799999952316284,7.452269554138184,3.238344192504883,4.191994667053223,50,0.6771222352981567
17,51,16,1,1.5,1.5,1.9,val,48.00077819824219,0.8999999761581421,7.781030654907227,5.11600923538208,6.928259372711182,10,0.22851145267486572
17,51,16,1,1.5,1.5,1.9,test,48.00077819824219,1.6428571939468384,3.973123788833618,1.9391134977340698,2.3097381591796875,14,0.8029128313064575
18,49,16,1,1.7,0.5,1.5,train,51.55363082885742,-1.8799999952316284,7.452269554138184,4.1509480476379395,5.386959552764893,50,0.46680736541748047
18,49,16,1,1.7,0.5,1.5,val,51.55363082885742,0.8999999761581421,7.781030654907227,5.132891654968262,7.1800856590271,10,0.1714085340499878
18,49,16,1,1.7,0.5,1.5,test,51.55363082885742,1.6428571939468384,3.973123788833618,3.339282512664795,3.8536267280578613,14,0.4513794183731079
19,51,16,1,1.7,0.5,1.7,train,51.20146942138672,-1.8799999952316284,7.452269554138184,2.366534471511841,3.268671751022339,50,0.8036913871765137
19,51,16,1,1.7,0.5,1.7,val,51.20146942138672,0.8999999761581421,7.781030654907227,5.870939254760742,7.155520439147949,10,0.17706865072250366
19,51,16,1,1.7,0.5,1.7,test,51.20146942138672,1.6428571939468384,3.973123788833618,2.695382595062256,3.1232550144195557,14,0.6396307349205017
20,51,16,1,1.7,0.5,1.9,train,51.024070739746094,-1.8799999952316284,7.452269554138184,2.232430934906006,3.095430850982666,50,0.823948860168457
20,51,16,1,1.7,0.5,1.9,val,51.024070739746094,0.8999999761581421,7.781030654907227,5.882427215576172,7.143113613128662,10,0.17991983890533447
20,51,16,1,1.7,0.5,1.9,test,51.024070739746094,1.6428571939468384,3.973123788833618,2.6918845176696777,3.1014251708984375,14,0.6446506977081299
21,51,16,1,1.7,1.0,1.5,train,49.824066162109375,-1.8799999952316284,7.452269554138184,2.8415579795837402,3.6346373558044434,50,0.7572725415229797
21,51,16,1,1.7,1.0,1.5,val,49.824066162109375,0.8999999761581421,7.781030654907227,5.597550392150879,7.058616638183594,10,0.19920682907104492
21,51,16,1,1.7,1.0,1.5,test,49.824066162109375,1.6428571939468384,3.973123788833618,3.227252244949341,4.165168762207031,14,0.3590885400772095
22,51,16,1,1.7,1.0,1.7,train,51.40153121948242,-1.8799999952316284,7.452269554138184,2.3609731197357178,3.2646734714508057,50,0.8041713237762451
22,51,16,1,1.7,1.0,1.7,val,51.40153121948242,0.8999999761581421,7.781030654907227,5.882894992828369,7.169486045837402,10,0.17385315895080566
22,51,16,1,1.7,1.0,1.7,test,51.40153121948242,1.6428571939468384,3.973123788833618,2.691502094268799,3.1313414573669434,14,0.6377623081207275
23,51,16,1,1.7,1.0,1.9,train,50.9271354675293,-1.8799999952316284,7.452269554138184,2.239560604095459,3.09859299659729,50,0.8235889673233032
23,51,16,1,1.7,1.0,1.9,val,50.9271354675293,0.8999999761581421,7.781030654907227,5.88960599899292,7.136324882507324,10,0.1814778447151184
23,51,16,1,1.7,1.0,1.9,test,50.9271354675293,1.6428571939468384,3.973123788833618,2.6749768257141113,3.080105781555176,14,0.6495193243026733
24,51,16,1,1.7,1.5,1.5,train,49.282958984375,-1.8799999952316284,7.452269554138184,2.9014272689819336,3.728142738342285,50,0.7446229457855225
24,51,16,1,1.7,1.5,1.5,val,49.282958984375,0.8999999761581421,7.781030654907227,5.485621452331543,7.020182132720947,10,0.20790374279022217
24,51,16,1,1.7,1.5,1.5,test,49.282958984375,1.6428571939468384,3.973123788833618,3.2575478553771973,4.260700225830078,14,0.32935166358947754
25,51,16,1,1.7,1.5,1.7,train,51.45001220703125,-1.8799999952316284,7.452269554138184,2.363344669342041,3.262721538543701,50,0.8044054508209229
25,51,16,1,1.7,1.5,1.7,val,51.45001220703125,0.8999999761581421,7.781030654907227,5.89768123626709,7.172866344451904,10,0.17307394742965698
25,51,16,1,1.7,1.5,1.7,test,51.45001220703125,1.6428571939468384,3.973123788833618,2.6823554039001465,3.1216611862182617,14,0.6399984359741211
26,51,16,1,1.7,1.5,1.9,train,50.92255401611328,-1.8799999952316284,7.452269554138184,2.233726739883423,3.0935580730438232,50,0.8241617679595947
26,51,16,1,1.7,1.5,1.9,val,50.92255401611328,0.8999999761581421,7.781030654907227,5.8937554359436035,7.1360039710998535,10,0.18155145645141602
26,51,16,1,1.7,1.5,1.9,test,50.92255401611328,1.6428571939468384,3.973123788833618,2.6748135089874268,3.0787203311920166,14,0.6498345136642456
